,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-04-30,002195,54.57,56.45,58.98,54.53,220419,1256763776.0,8.15,3.41,1.86,15.01
1,2015-05-04,002195,55.8,53.69,55.8,52.1,120101,645072352.0,6.55,-4.89,-2.76,8.18
2,2015-05-05,002195,53.85,52.3,53.85,52.0,84514,446226240.0,3.45,-2.59,-1.39,5.76
3,2015-05-06,002195,52.42,53.05,55.25,52.42,111473,600553568.0,5.41,1.43,0.75,7.59
4,2015-05-07,002195,52.0,51.28,52.77,51.0,79110,410317552.0,3.34,-3.34,-1.77,5.39
5,2015-05-08,002195,52.21,56.41,56.41,52.21,291370,1619969104.0,8.19,10.0,5.13,19.84
6,2015-05-11,002195,58.65,62.05,62.05,57.02,370773,2218886848.0,8.92,10.0,5.64,18.07
7,2015-05-12,002195,62.47,60.81,63.86,59.0,346048,2116798176.0,7.83,-2.0,-1.24,16.86
8,2015-05-13,002195,58.6,59.09,61.15,56.55,233884,1376787568.0,7.56,-2.83,-1.72,8.99
9,2015-05-14,002195,58.7,55.53,58.7,53.99,359636,2003110528.0,7.97,-6.02,-3.56,13.83
10,2015-05-15,002195,54.75,56.6,58.24,53.36,228883,1281289248.0,8.79,1.93,1.07,8.8
11,2015-05-18,002195,55.79,58.45,58.89,55.15,230509,1331591072.0,6.61,3.27,1.85,8.86
12,2015-05-19,002195,58.1,64.3,64.3,58.1,425333,2665856464.0,10.61,10.01,5.85,16.35
13,2015-05-20,002195,69.0,70.73,70.73,67.6,510561,3582187680.0,4.87,10.0,6.43,19.63
14,2015-05-21,002195,70.0,74.1,77.1,66.78,543046,3889242416.0,14.59,4.76,3.37,20.88
15,2015-05-22,002195,73.77,69.6,73.77,69.3,355438,2520740448.0,6.03,-6.07,-4.5,13.67
16,2015-05-25,002195,62.64,62.64,62.64,62.64,139399,873195344.0,0.0,-10.0,-6.96,5.36
17,2015-05-26,002195,61.0,63.99,65.5,61.0,387647,2467391680.0,7.18,2.16,1.35,14.91
18,2015-05-27,002195,63.99,61.87,65.49,61.1,273233,1710674976.0,6.86,-3.31,-2.12,10.51
19,2015-05-28,002195,61.4,64.0,67.7,60.28,364730,2315782592.0,11.99,3.44,2.13,14.02
20,2015-05-29,002195,62.29,62.87,66.3,57.6,252532,1591264160.0,13.59,-1.77,-1.13,9.71
21,2015-06-01,002195,62.7,67.87,68.47,62.5,314424,2074869088.0,9.5,7.95,5.0,12.09
22,2015-06-02,002195,67.0,70.17,72.2,65.2,330203,2253053696.0,10.31,3.39,2.3,12.7
23,2015-06-03,002195,70.2,67.14,70.8,65.0,242550,1645165856.0,8.27,-4.32,-3.03,9.33
24,2015-06-04,002195,67.15,64.81,69.9,61.0,209109,1375522656.0,13.26,-3.47,-2.33,8.04
25,2015-06-05,002195,65.7,63.58,66.68,62.18,202283,1306291280.0,6.94,-1.9,-1.23,7.78
26,2015-06-08,002195,62.2,61.32,64.0,60.01,189831,1165872512.0,6.28,-3.55,-2.26,7.3
27,2015-06-09,002195,61.4,62.08,63.34,61.4,132972,829443056.0,3.16,1.24,0.76,5.11
28,2015-06-10,002195,62.28,63.08,63.8,60.6,145330,910300960.0,5.15,1.61,1.0,5.59
29,2015-06-11,002195,62.52,62.32,63.78,61.78,129731,812693536.0,3.17,-1.2,-0.76,4.99
30,2015-06-12,002195,62.22,62.96,63.6,61.0,162041,1007345184.0,4.17,1.03,0.64,6.23
31,2015-06-15,002195,63.0,57.52,63.34,57.45,193973,1160655392.0,9.36,-8.64,-5.44,7.46
32,2015-06-16,002195,56.0,52.0,56.01,51.83,163004,870457632.0,7.27,-9.6,-5.52,6.27
33,2015-06-17,002195,52.0,55.65,55.99,51.75,141168,760096544.0,8.15,7.02,3.65,5.43
34,2015-06-18,002195,55.9,51.92,55.9,51.8,112911,604873840.0,7.37,-6.7,-3.73,4.34
35,2015-06-19,002195,50.8,47.99,52.63,47.2,108735,549367664.0,10.46,-7.57,-3.93,4.18
36,2015-06-23,002195,48.4,47.7,50.2,44.01,121281,571838448.0,12.9,-0.6,-0.29,4.66
37,2015-06-24,002195,49.17,48.78,49.5,47.0,125144,607972864.0,5.24,2.26,1.08,4.81
38,2015-06-25,002195,48.92,47.47,50.5,46.37,133867,657832800.0,8.47,-2.69,-1.31,5.15
39,2015-06-26,002195,45.1,42.72,46.49,42.72,88086,385376288.0,7.94,-10.01,-4.75,3.39
40,2015-06-29,002195,43.79,38.45,43.98,38.45,57108,224765970.0,12.94,-10.0,-4.27,2.2
41,2015-06-30,002195,34.61,41.56,42.0,34.61,192408,722626208.0,19.22,8.09,3.11,7.28
42,2015-07-01,002195,41.4,37.4,42.2,37.4,188384,753315568.0,11.55,-10.01,-4.16,7.13
